spatial_block_id,display_x,display_y,xenium_x,xenium_y,n_cells,luminal_estrogen_response,epithelial_identity,basal_squamous_state,unfolded_protein_response,oxidative_phosphorylation,collagen_ecm_organization,myofibroblast_caf_activation,immune_activation,immune_exclusion,emt_invasive_front
block_x3_y5,85.01545528156575,51.35482854246467,3677.859306335449,2907.7695541381836,32,0.4286236513716969,0.3733112038616485,0.3867431023926148,0.4682441828269568,0.3031203462258953,0.2603712071570732,0.3338751204960403,0.014715956803135,0.3023762461746053,0.261257132225519
block_x3_y6,83.14918494210164,51.56332900234035,3708.7671966552734,3215.898468017578,16,0.6108709241373087,0.422620298246431,0.390213736320144,0.5814599305996531,0.4535416530394342,0.2632267262157148,0.3347504835355051,0.1344640209833533,0.2661874033989388,0.2834785593846311
block_x3_y7,80.22751767021681,51.835215529622175,3748.155475118886,3698.175346042799,23,0.4346210302118243,0.4629727537232172,0.3284147355219368,0.2875889996199962,0.69250447622528,0.0471136190239799,0.1431580483014387,1.0,0.1436641959036593,0.2472381227636548
block_x3_y8,77.9333983508568,51.20993793527059,3640.656013257576,4075.28798976089,33,0.5494450506153599,0.4390765410488721,0.0663207666890981,0.4855369880415111,0.5800173991094134,0.2003364178512742,0.0342596757311182,0.6680292705733059,0.1032575467246311,0.3489510446235047
block_x3_y9,75.82688206469375,51.57152089444436,3696.3773408777574,4423.319623161765,17,0.8905040887149044,0.743324102645029,0.0921798211412694,0.7625772180441078,0.826036153151724,0.1913982131109435,0.048058152771931,0.0767000277538002,0.1439769850258498,0.1146103023516737
block_x4_y0,99.58071737398555,54.250904479856715,4183.154342651367,511.4811329841614,16,0.1505628571689318,0.2643756622649089,0.147485210092705,0.2315002505436738,0.2500331282213143,0.5490670591330079,0.2244983644833154,0.1139149259763091,0.7077352885320332,0.4254621796194631
block_x4_y1,96.10553392364824,54.76191321643847,4260.9678955078125,1085.478807237413,18,0.348660309229884,0.4119916022252329,0.177463952566436,0.4459287782439846,0.295447027347654,0.3205167029222089,0.3536378240164964,0.1428528268632555,0.4912607494981958,0.3581903598265105
block_x4_y10,72.40985632060071,54.87567263114868,4235.272569444444,4992.973882378472,45,0.8298204814747991,0.6826690008312057,0.0902793649741493,0.7447474495274818,0.633827485592121,0.0708040829543129,0.0368441981777949,0.0819669971743004,0.0597973693450615,0.0825874674754233
block_x4_y11,70.17488672422053,55.947828158903235,4408.023742675781,5363.521423339844,16,0.8259023033711491,0.6135465841835902,0.0406735147207218,0.7412756907606991,0.6821167115106861,0.1855296213776592,0.0880413152539396,0.0838888335482354,0.0459188923851958,0.1181881327321772
block_x4_y2,92.6231596034162,54.21650891380258,4164.420491536458,1658.6779174804688,6,,,,,,,,,,
block_x4_y3,89.76221184756159,55.55690567250521,4380.266671316965,2132.9495152064733,7,0.0,0.0238250552325526,0.0,0.266721165944196,0.1931312891105159,0.6889383063654242,0.7695022121494972,0.0,0.492550820969439,0.6757669974970257
block_x4_y4,87.38796210512832,54.90616748518321,4268.4148828125,2523.2273828125,25,0.9526593960172196,1.0,0.182614629337987,0.9845734170086748,0.826940488793691,0.0301928912998077,0.0714451924924036,0.0,0.0158239288956599,0.0693665082873608
block_x4_y5,85.21658076286046,54.9071133109284,4264.495930989583,2881.2774948846727,21,0.9025058558514304,0.7551880868109047,0.1327503177136105,0.6710653764565856,0.5049816646003651,0.2492549436728791,0.141088062212822,0.0517966855879616,0.248421398535086,0.2433281760548566
block_x4_y6,83.06685472661619,55.365569950047984,4336.123928493924,3236.6161295572915,18,0.7674126686440332,0.5353841142474707,0.1351891918695682,0.6610533088429138,0.6459675750319757,0.2998215979146569,0.2956520532752136,0.2449312403793783,0.3129356435816284,0.2179433051121719
block_x4_y7,80.50254641876543,55.271144996616634,4315.727840169271,3659.2785074869794,30,0.9026403235333024,0.7080435316821959,0.0901072096940758,0.7629825308160062,0.9361307979075996,0.101664232549324,0.0774664892062838,0.0595983318739314,0.1322351073935172,0.1058949916400539
