assigned_structure,feature_name,feature_kind,group_mean,rest_mean,effect_size,p_value,fdr,n_group_tiles,n_rest_tiles
S1,embedding__75,embedding,0.7607421875,-0.29248046875,1.052734375,0.0,0.0,866,2248
S1,embedding__363,embedding,0.76025390625,-0.29296875,1.052734375,0.0,0.0,866,2248
S5,embedding__324,embedding,1.0107421875,-0.04248046875,1.052734375,1.0135506318496159e-30,2.752723360174295e-30,127,2987
S1,embedding__195,embedding,-0.759765625,0.292236328125,-1.0517578125,0.0,0.0,866,2248
S1,embedding__431,embedding,-0.75830078125,0.292236328125,-1.05078125,0.0,0.0,866,2248
S5,embedding__371,embedding,1.0068359375,-0.04217529296875,1.048828125,0.0,0.0,127,2987
S1,embedding__426,embedding,0.7568359375,-0.291015625,1.0478515625,0.0,0.0,866,2248
S5,embedding__359,embedding,-1.0048828125,0.042327880859375,-1.046875,0.0,0.0,127,2987
S1,embedding__13,embedding,-0.7509765625,0.288818359375,-1.0400390625,0.0,0.0,866,2248
S1,embedding__300,embedding,0.7509765625,-0.2890625,1.0400390625,0.0,0.0,866,2248
S1,embedding__19,embedding,-0.74951171875,0.288818359375,-1.0380859375,0.0,0.0,866,2248
S5,embedding__151,embedding,-0.99462890625,0.041778564453125,-1.0361328125,0.0,0.0,127,2987
S1,embedding__136,embedding,0.74658203125,-0.28662109375,1.033203125,0.0,0.0,866,2248
S5,embedding__423,embedding,-0.98974609375,0.04193115234375,-1.03125,2.5794484492898075e-25,6.363289652784874e-25,127,2987
S1,embedding__287,embedding,-0.7431640625,0.285888671875,-1.029296875,0.0,0.0,866,2248
S5,embedding__90,embedding,-0.9873046875,0.041778564453125,-1.029296875,0.0,0.0,127,2987
S1,embedding__373,embedding,0.74267578125,-0.285888671875,1.0283203125,0.0,0.0,866,2248
S1,embedding__30,embedding,0.7412109375,-0.28515625,1.0263671875,0.0,0.0,866,2248
S5,embedding__219,embedding,0.984375,-0.041595458984375,1.0263671875,4.518565605784812e-27,1.1517047100681992e-26,127,2987
S4,embedding__17,embedding,-0.6357421875,0.39013671875,-1.025390625,0.0,0.0,1184,1930
S4,embedding__47,embedding,0.63427734375,-0.389892578125,1.0244140625,0.0,0.0,1184,1930
S4,embedding__263,embedding,0.6328125,-0.388671875,1.021484375,0.0,0.0,1184,1930
S4,embedding__342,embedding,-0.6328125,0.388916015625,-1.021484375,0.0,0.0,1184,1930
S4,embedding__385,embedding,0.63232421875,-0.388671875,1.021484375,0.0,0.0,1184,1930
S5,embedding__23,embedding,-0.97998046875,0.041290283203125,-1.021484375,2.8111616648635874e-39,8.871985423571902e-39,127,2987
S5,embedding__49,embedding,0.98046875,-0.041351318359375,1.021484375,3.832047893658879e-25,9.408885232784266e-25,127,2987
S1,embedding__155,embedding,0.73486328125,-0.2822265625,1.017578125,0.0,0.0,866,2248
S1,embedding__240,embedding,-0.73486328125,0.28271484375,-1.017578125,0.0,0.0,866,2248
S5,embedding__65,embedding,-0.97509765625,0.04132080078125,-1.0166015625,0.0,0.0,127,2987
S1,embedding__506,embedding,-0.73291015625,0.281982421875,-1.0146484375,0.0,0.0,866,2248
S4,embedding__343,embedding,0.62841796875,-0.385986328125,1.0146484375,0.0,0.0,1184,1930
S1,embedding__90,embedding,-0.73193359375,0.28173828125,-1.013671875,0.0,0.0,866,2248
S5,embedding__203,embedding,0.9716796875,-0.041107177734375,1.0126953125,4.1050142989425596e-22,9.414839472970194e-22,127,2987
S1,embedding__148,embedding,-0.72998046875,0.281005859375,-1.0107421875,0.0,0.0,866,2248
S1,embedding__293,embedding,-0.728515625,0.280517578125,-1.0087890625,0.0,0.0,866,2248
S1,embedding__375,embedding,-0.72705078125,0.280029296875,-1.0068359375,0.0,0.0,866,2248
S1,embedding__284,embedding,-0.72705078125,0.279296875,-1.005859375,0.0,0.0,866,2248
S5,embedding__39,embedding,-0.96435546875,0.040863037109375,-1.0048828125,3.2956027376539185e-32,9.23901519363773e-32,127,2987
S5,embedding__270,embedding,0.96435546875,-0.04058837890625,1.0048828125,1.4248907582852862e-24,3.4530778821955404e-24,127,2987
S1,embedding__144,embedding,-0.72509765625,0.279052734375,-1.00390625,0.0,0.0,866,2248
S1,embedding__498,embedding,-0.72412109375,0.279052734375,-1.0029296875,0.0,0.0,866,2248
S4,embedding__320,embedding,-0.6201171875,0.38134765625,-1.001953125,0.0,0.0,1184,1930
S5,embedding__450,embedding,-0.958984375,0.04034423828125,-0.99951171875,4.313634718936355e-26,1.076346712851232e-25,127,2987
S1,embedding__274,embedding,-0.7216796875,0.277587890625,-0.9990234375,0.0,0.0,866,2248
S5,embedding__366,embedding,-0.95849609375,0.040283203125,-0.9990234375,6.054057781391794e-40,1.9293151171468352e-39,127,2987
S5,embedding__236,embedding,0.95751953125,-0.04034423828125,0.998046875,1.423915239523936e-28,3.720138914071545e-28,127,2987
S1,embedding__466,embedding,0.71875,-0.276611328125,0.9951171875,0.0,0.0,866,2248
S1,embedding__501,embedding,0.71826171875,-0.276611328125,0.9951171875,0.0,0.0,866,2248
S1,embedding__307,embedding,0.71630859375,-0.275390625,0.99169921875,0.0,0.0,866,2248
S1,embedding__147,embedding,0.7158203125,-0.275634765625,0.9912109375,0.0,0.0,866,2248
S4,embedding__198,embedding,0.6142578125,-0.376708984375,0.9912109375,0.0,0.0,1184,1930
S5,embedding__45,embedding,-0.951171875,0.040008544921875,-0.9912109375,7.521175234585947e-39,2.356574713357662e-38,127,2987
S1,embedding__230,embedding,-0.7158203125,0.27490234375,-0.99072265625,0.0,0.0,866,2248
S2,embedding__69,embedding,0.9453125,-0.04400634765625,0.9892578125,6.3174107270238196e-24,1.5057937897289652e-23,140,2974
S5,embedding__176,embedding,-0.947265625,0.040191650390625,-0.9873046875,2.7061047271181004e-36,8.193658164475918e-36,127,2987
S1,embedding__3,embedding,0.712890625,-0.273681640625,0.986328125,0.0,0.0,866,2248
S1,embedding__239,embedding,0.7119140625,-0.27392578125,0.98583984375,0.0,0.0,866,2248
S5,embedding__388,embedding,-0.94580078125,0.0401611328125,-0.98583984375,2.2167600311111518e-21,4.9877100700000914e-21,127,2987
