cell_id,x,y,celltype,pathway,score
aeehdomc-1,3948.526611328125,3537.55615234375,11q13 Invasive Tumor Cells,MacrophageProgram,0.16666666666666669
aeendofj-1,3889.39599609375,4941.14013671875,T Lymphocytes,MacrophageProgram,0.75
aegbnkgb-1,3441.389404296875,4943.19677734375,T Lymphocytes,MacrophageProgram,0.16666666666666669
aehibjga-1,3765.763427734375,5106.00048828125,11q13 Invasive Tumor Cells,MacrophageProgram,0.16666666666666669
aejkfhja-1,4083.42333984375,4936.99365234375,T Lymphocytes,MacrophageProgram,0.16666666666666669
aejkfodm-1,4089.200927734375,4932.5751953125,Macrophages,MacrophageProgram,0.6666666666666667
aeklgocc-1,3501.873779296875,4548.32568359375,Macrophages,MacrophageProgram,0.25
aeldalgm-1,4197.4384765625,4406.2626953125,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
aenhjcfd-1,3380.48974609375,4784.71875,11q13 Invasive Tumor Cells,MacrophageProgram,0.25
aenllpee-1,3579.37353515625,4856.8515625,T Lymphocytes,MacrophageProgram,0.16666666666666669
aenmdomc-1,3552.036865234375,4835.85498046875,Macrophages,MacrophageProgram,1.0
aeokdnah-1,4098.49267578125,4752.54736328125,Macrophages,MacrophageProgram,0.5833333333333334
aepgfdjp-1,3525.41845703125,4235.3837890625,11q13 Invasive Tumor Cells,MacrophageProgram,0.16666666666666669
afamljkc-1,3256.42578125,4337.982421875,Dendritic Cells,MacrophageProgram,0.16666666666666669
afbfeina-1,3148.91357421875,4558.04638671875,Macrophages,MacrophageProgram,1.0
afblbfhj-1,3618.49169921875,3819.9443359375,T Lymphocytes,MacrophageProgram,0.5
afblgbka-1,3619.09765625,3814.72607421875,T Lymphocytes,MacrophageProgram,0.25
afbmcmgo-1,3627.1728515625,3847.4619140625,T Lymphocytes,MacrophageProgram,0.5833333333333334
afdacnbo-1,4105.1884765625,4232.92578125,Dendritic Cells,MacrophageProgram,0.33333333333333337
afddkhgp-1,4182.09326171875,4097.994140625,Dendritic Cells,MacrophageProgram,0.6666666666666667
afdffjak-1,4131.94287109375,4233.23046875,T Lymphocytes,MacrophageProgram,0.4166666666666667
afepfheo-1,3928.880615234375,4211.54541015625,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
afgcbipl-1,3621.720947265625,3943.262451171875,T Lymphocytes,MacrophageProgram,0.25
afgdapgn-1,3639.08642578125,3938.18798828125,T Lymphocytes,MacrophageProgram,0.25
afhbhnkm-1,3825.218017578125,3987.01416015625,T Lymphocytes,MacrophageProgram,0.16666666666666669
afhckjke-1,3830.95361328125,3986.891357421875,Dendritic Cells,MacrophageProgram,0.16666666666666669
afhfppec-1,3876.319580078125,4016.249755859375,B Cells,MacrophageProgram,0.33333333333333337
afhgabno-1,3875.480712890625,3980.010986328125,Dendritic Cells,MacrophageProgram,0.16666666666666669
afhgdaai-1,3863.16748046875,4003.2216796875,T Lymphocytes,MacrophageProgram,0.16666666666666669
afjkhfdk-1,3269.3095703125,3731.38818359375,Basal-like Structured DCIS Cells,MacrophageProgram,0.33333333333333337
afkjfhhj-1,2377.0048828125,5177.791015625,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
afkmmmab-1,2363.30126953125,5188.8251953125,Myoepithelial Cells,MacrophageProgram,0.33333333333333337
afknbadf-1,2363.4580078125,5192.9072265625,Dendritic Cells,MacrophageProgram,0.75
aflndlcf-1,2324.33740234375,5350.076171875,Basal-like Structured DCIS Cells,MacrophageProgram,0.33333333333333337
afmagmpi-1,2510.72216796875,5645.84228515625,Apocrine Cells,MacrophageProgram,0.16666666666666669
afmaogbg-1,2583.44970703125,5652.66748046875,Myoepithelial Cells,MacrophageProgram,0.25
afmcmegp-1,2587.56982421875,5657.5751953125,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
afmhnolc-1,2858.68994140625,5596.95556640625,T Lymphocytes,MacrophageProgram,0.16666666666666669
afmkhgoj-1,2923.178955078125,5635.431640625,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
