gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene	x	y	value	category	label
HBB	CAFs, Invasive Associated	4001	0.0224943764058985	0.0082961082251694	0.0087478130467383	0.126607913052419	0.1581575256081157	15	12	0.126607913052419	contamination_control	HBB|CAFs, Invasive Associated
ITGA2B	CAFs, Invasive Associated	4001	0.0077480629842539	0.0052986454698591	0.0074981254686328	0.0670652430427939	0.0744370359023147	15	10	0.0670652430427939	contamination_control	ITGA2B|CAFs, Invasive Associated
KDR	CAFs, Invasive Associated	4001	0.1054736315921019	0.0591636561965484	0.0672331917020744	0.0688274586133218	0.1054983706766176	15	4	0.0688274586133218	endothelial_or_axis_marker	KDR|CAFs, Invasive Associated
MMRN2	CAFs, Invasive Associated	4001	0.0217445638590352	0.0138334272538159	0.0177455636090977	0.0231839202144166	0.0314762938224719	15	6	0.0231839202144166	endothelial_or_axis_marker	MMRN2|CAFs, Invasive Associated
PECAM1	CAFs, Invasive Associated	4001	0.1074731317170707	0.0636215144819947	0.076730817295676	0.044303813738584	0.0860390805302185	15	2	0.044303813738584	endothelial_or_axis_marker	PECAM1|CAFs, Invasive Associated
PF4	CAFs, Invasive Associated	4001	0.0022494376405898	0.0015591913584202	0.0022494376405898	0.0639774427464584	0.0653140286356982	15	9	0.0639774427464584	contamination_control	PF4|CAFs, Invasive Associated
PPBP	CAFs, Invasive Associated	4001	0.005498625343664	0.0035956490264842	0.0047488127968008	0.1368273079192601	0.1299064122858174	15	8	0.1368273079192601	contamination_control	PPBP|CAFs, Invasive Associated
SELP	CAFs, Invasive Associated	4001	0.0157460634841289	0.0093978943515151	0.0117470632341914	0.0299857621944455	0.045266610067769	15	1	0.0299857621944455	endothelial_or_axis_marker	SELP|CAFs, Invasive Associated
VWF	CAFs, Invasive Associated	4001	0.0932266933266683	0.0503121527555694	0.0552361909522619	0.0303398845979859	0.0629020085530578	15	0	0.0303398845979859	endothelial_or_axis_marker	VWF|CAFs, Invasive Associated
CLEC14A	CXCL14+ Fibroblasts	4936	0.012965964343598	0.0085316205383633	0.011547811993517	0.0133954754134191	0.0195885780157534	18	7	0.0133954754134191	endothelial_or_axis_marker	CLEC14A|CXCL14+ Fibroblasts
