cell_id,luminal_estrogen_response,epithelial_identity,basal_squamous_state,unfolded_protein_response,oxidative_phosphorylation,collagen_ecm_organization,myofibroblast_caf_activation,immune_activation,immune_exclusion,emt_invasive_front
lhoempll-1,0.5821199269206235,0.554138756221297,0.0,0.3111564421989027,0.2673149337365526,0.0,0.0,0.0,0.0,0.0
lhpfpkmg-1,0.6065474893730404,0.17298755868270121,0.07567440128134462,0.1727525403083378,0.2759183075812386,0.0,0.0,0.0,0.0,0.0
liaonolj-1,0.5327454829786261,0.2572434996862257,0.318397229016194,0.2678549892213474,0.21516242139417574,0.206678424004526,0.2983069221561146,0.0,0.21491331890038387,0.09514573138670733
libflpce-1,0.40154867503299946,0.12085283512213006,0.13924771246101317,0.24582343250007918,0.2049446012478065,0.4810853004008138,0.23660280783270146,0.0,0.4147735215616111,0.4611788193103756
libppmig-1,0.12146322220931909,0.0,0.9247515791145066,0.10494083982107934,0.0,0.3885888799863502,0.45790508138209995,0.21880897543022582,0.6108605422485406,0.5032803544974028
lifdebpk-1,0.07101545946167696,0.10641534762796738,0.12261271084756317,0.18658651475744562,0.0,0.4620868759173467,0.17011811694932177,0.0,0.47748386024552913,0.48298195685873346
lihblcom-1,0.5872071168328737,0.306164744797889,0.0,0.16310529930562592,0.0,0.0,0.0,0.0,0.0,0.0
lihfcalo-1,0.6444790409653657,0.2103893885598874,0.08124294599555543,0.1907152244114683,0.7434997077052068,0.0,0.0,0.0,0.0,0.0
liieoacl-1,0.6741452101005667,0.3518318625893728,0.05017586467378663,0.3238606317471315,0.6462191470968608,0.0,0.0,0.04784222374141842,0.0,0.0
liiokdbh-1,0.5720632473194641,0.23921814449729945,0.0,0.30087379353846416,0.40567080768684155,0.0,0.09560496016106623,0.0,0.0,0.0
liipmdil-1,0.6411702400887483,0.20175831307124487,0.0,0.5106105838958316,0.1750682088716003,0.0,0.0,0.0,0.0,0.0
lippniph-1,0.6227819557719574,0.3970961018314855,0.0,0.21340655629577784,0.3753009177681705,0.03537397563986027,0.042317471507446906,0.05816357951002694,0.0,0.08470976691756515
ljakcoom-1,0.0,0.0,0.0,0.0,0.0,0.9394234547415664,0.42439519143236876,0.0,0.8419460784651926,0.5380994245108517
ljbgnngo-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ljchckgd-1,0.6880566504962525,0.20508902662813178,0.0,0.2006293198726514,0.3855126473844959,0.0,0.19480149108257586,0.0,0.07113097247269232,0.0
ljcnojmb-1,0.12089848436957504,0.18116413439281434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ljcpjagd-1,0.0985610937170551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12338881764266069,0.3502012877193106
ljicclpo-1,0.6939992834990807,0.35582624139704044,0.0,0.3481244123323601,0.0,0.0,0.0,0.0,0.0,0.0
ljjafcjg-1,0.35753006711650814,0.09981758184344841,0.3333708176122186,0.2536543664605722,0.33854521472752463,0.0,0.33366328579486554,0.0,0.16678460544000187,0.0
ljldlcnk-1,0.2908629186069222,0.24870338388711896,0.28655825287505365,0.21803573752403366,0.21087803107066808,0.08308682502985898,0.3483822563345913,0.0,0.10388925224181086,0.25939713648192997
lkaaahgn-1,0.5851505793629185,0.4752085266936075,0.0,0.3421592208472992,0.5146045085826078,0.0,0.0,0.0,0.0,0.0
lkapklad-1,0.6535433433987429,0.3843981119988106,0.0,0.49218072447522637,0.337409736065551,0.0,0.0450291796473519,0.15583008502129309,0.04706484725351665,0.08918327990342899
lkcddagl-1,0.5731473988707819,0.2969558938391857,0.0,0.40257065561910416,0.383429432865037,0.0,0.0,0.0828003689328558,0.0,0.0
lkdjijfb-1,0.6277239076646557,0.5244221913029963,0.0,0.22597107372556474,0.29037735252737495,0.0,0.0,0.1323748129374955,0.0,0.0
lkdpgobp-1,0.6915400309852902,0.61484989134939,0.06506606214857305,0.3543498304453666,0.7202118000182944,0.0,0.0,0.0,0.0,0.0
lkeicihb-1,0.7182413140046755,0.4906338325334301,0.0,0.2793985163609551,0.9172295447585836,0.0,0.0,0.0,0.0,0.0
