ligand,Hypoxic Tumor Cells,Exhausted T Cells,Dyskeratotic Tumor Cells,Metabolic Invasive Basal Cells,Dendritic Cells,B Cells,Cytotoxic T Cells,Stroma & Smooth Muscle,Regulatory T Cells,Macrophages,Plasma Cells,Neutrophils,Naive & Memory T Cells,Migratory Invasive Basal Cells,Parabasal Tumor Cells,Mast Cells,Endothelial Cells,OR4F17+ Cells,Detachment,Interstitial Fibroblasts,Differentiating Tumor Cells,Proliferative Parabasal Cells,Cancer Associated Fibroblasts,Endocervical Columnar Cells,Endocervical Ciliated Cells,nan,Smooth Muscle
ADAM2,0.4521847707759643,0.0855813698805642,0.2542414123875361,0.2933856410746865,0.2933856410746865,0.1368025731907639,0.1368025731907639,0.2933856410746865,0.2933856410746865,0.1368025731907639,0.1368025731907639,0.2542414123875361,0.1368025731907639,0.2933856410746865,0.2933856410746865,0.1368025731907639,0.2933856410746865,0.2542414123875361,0.2933856410746865,0.2933856410746865,0.2933856410746865,0.2933856410746865,0.2933856410746865,1.0,1.0,,0.2933856410746865
ADAM23,0.1567655081673614,0.2827673694738885,0.2827673694738885,0.3224061057589384,0.3224061057589384,0.2827673694738885,0.2827673694738885,0.3224061057589384,0.2827673694738885,0.2827673694738885,0.2827673694738885,0.2827673694738885,0.2827673694738885,0.3224061057589384,0.3224061057589384,0.2827673694738885,0.3224061057589384,0.2827673694738885,0.3224061057589384,0.3224061057589384,0.3224061057589384,0.3224061057589384,0.2827673694738885,1.0,1.0,,0.3224061057589384
ADAM28,0.4499616042062591,0.158537999446433,0.2648376755653667,0.2929571653170865,0.2929571653170865,0.0710529571861444,0.0710529571861444,0.2929571653170865,0.158537999446433,0.0710529571861444,0.0710529571861444,0.2648376755653667,0.0858260446475707,0.2929571653170865,0.2929571653170865,0.0858260446475707,0.2929571653170865,0.2648376755653667,0.2929571653170865,0.2929571653170865,0.2929571653170865,0.2929571653170865,0.158537999446433,1.0,1.0,,0.2929571653170865
ADAM29,0.4526888692571665,0.0737363961800387,0.2632222371378432,0.2901289936429492,0.2901289936429492,0.1581921228756118,0.1581921228756118,0.2901289936429492,0.1202495503141655,0.1581921228756118,0.1581921228756118,0.2632222371378432,0.1581921228756118,0.2901289936429492,0.2901289936429492,0.1581921228756118,0.2901289936429492,0.2632222371378432,0.2901289936429492,0.2901289936429492,0.2901289936429492,0.2901289936429492,0.1202495503141655,1.0,1.0,,0.2901289936429492
ADAM7,0.4538588644767259,0.0745552664382963,0.2649314398677839,0.2890897684870142,0.2890897684870142,0.159690912959261,0.159690912959261,0.2890897684870142,0.1116930974754738,0.159690912959261,0.159690912959261,0.2649314398677839,0.159690912959261,0.2890897684870142,0.2890897684870142,0.159690912959261,0.2890897684870142,0.2649314398677839,0.2890897684870142,0.2890897684870142,0.2890897684870142,0.2890897684870142,0.1116930974754738,1.0,1.0,,0.2890897684870142
ADAM9,0.4522018260884349,0.0867865458423662,0.25414101529936,0.2931683236324376,0.2931683236324376,0.1448400155360935,0.1448400155360935,0.2931683236324376,0.2931683236324376,0.1448400155360935,0.1448400155360935,0.25414101529936,0.1448400155360935,0.2931683236324376,0.2931683236324376,0.1448400155360935,0.2931683236324376,0.25414101529936,0.2931683236324376,0.2931683236324376,0.2931683236324376,0.2931683236324376,0.2931683236324376,1.0,1.0,,0.2931683236324376
ADAMTS3,0.4534239832864605,0.0727502462179523,0.2666256459140251,0.2895516098575642,0.2895516098575642,0.1546198477608947,0.1546198477608947,0.2895516098575642,0.1038146864145205,0.1546198477608947,0.1546198477608947,0.2666256459140251,0.1546198477608947,0.2895516098575642,0.2895516098575642,0.1546198477608947,0.2895516098575642,0.2666256459140251,0.2895516098575642,0.2895516098575642,0.2895516098575642,0.2895516098575642,0.1038146864145205,1.0,1.0,,0.2895516098575642
ADCYAP1,0.4641120732100688,0.2977613017465012,0.2977613017465012,0.2076210126685015,0.2076210126685015,0.2977613017465012,0.2977613017465012,0.0744549716418162,0.2977613017465012,0.2977613017465012,0.2977613017465012,0.2977613017465012,0.2977613017465012,0.2076210126685015,0.2076210126685015,0.2977613017465012,0.0744549716418162,0.2977613017465012,0.177459519758307,0.1239363611845305,0.2076210126685015,0.2076210126685015,0.2977613017465012,1.0,1.0,,0.2258534226724783
ADGRB1,0.4504216942653147,0.092362712791521,0.2574282000110388,0.2948809854816172,0.2948809854816172,0.1179799821007966,0.1179799821007966,0.2948809854816172,0.2948809854816172,0.1179799821007966,0.1179799821007966,0.2574282000110388,0.1179799821007966,0.2948809854816172,0.2948809854816172,0.1179799821007966,0.2948809854816172,0.2574282000110388,0.2948809854816172,0.2948809854816172,0.2948809854816172,0.2948809854816172,0.2948809854816172,1.0,1.0,,0.2948809854816172
ADIPOQ,0.4520548855379063,0.0783278701838835,0.2546751996170929,0.2933440368176718,0.2933440368176718,0.134520280673762,0.134520280673762,0.2933440368176718,0.2933440368176718,0.134520280673762,0.134520280673762,0.2546751996170929,0.134520280673762,0.2933440368176718,0.2933440368176718,0.134520280673762,0.2933440368176718,0.2546751996170929,0.2933440368176718,0.2933440368176718,0.2933440368176718,0.2933440368176718,0.2933440368176718,1.0,1.0,,0.2933440368176718
