ligand,receptor,sender_celltype,receiver_celltype,anchor_source_ligand,anchor_source_receptor,structure_map_source,sender_anchor,receiver_anchor,structure_bridge,sender_expr,receiver_expr,local_contact,contact_strength_raw,contact_strength_normalized,contact_coverage,cross_edge_count,prior_confidence,LR_score
JAG1,NOTCH1,Mast Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.508890947751274,0.0,0.0,9.902323108165853e-05,0.0019835632600448422,0.0,0.0,0.0,0.0,3,1.0,6.812538787765178e-06
DLL4,NOTCH3,Apocrine Cells,Myeloid Cells,precomputed,precomputed,precomputed,0.0,0.8259401011731793,0.0,0.0001268124169210086,0.0007714919761827168,0.0,0.0,0.0,0.0,20,1.0,6.575270203150697e-06
DLL4,NOTCH3,Apocrine Cells,Plasma Cells,precomputed,precomputed,precomputed,0.0,0.6229781712219108,0.0,0.0001268124169210086,0.0009249287638231187,0.0,0.0,0.0,0.0,15,1.0,6.465919704935843e-06
DLL4,NOTCH3,Apocrine Cells,B Cells,precomputed,precomputed,precomputed,0.0,0.5135084777480219,0.0,0.0001268124169210086,0.0007179840585900947,0.0,0.0,0.0,0.0,11,1.0,6.002203978828807e-06
DLL4,NOTCH3,Apocrine Cells,Mast Cells,precomputed,precomputed,precomputed,0.0,0.7850493526209386,0.0,0.0001268124169210086,0.00018718663110571166,0.0,0.0,0.0,0.0,1,1.0,5.149106050227223e-06
TGFB1,TGFBR2,Unassigned,Endothelial Cells,precomputed,precomputed,precomputed,0.0,0.9670990634749379,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9,1.0,4.615780647073514e-06
CSF1,CSF1R,Unassigned,Macrophages,precomputed,precomputed,precomputed,0.0,0.9551923413258293,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1.0,4.6062602692322675e-06
CXCL12,CXCR4,Unassigned,T Lymphocytes,precomputed,precomputed,precomputed,0.0,0.929067454422166,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,4.585019734949661e-06
DLL4,NOTCH3,Endothelial Cells,Unassigned,precomputed,precomputed,precomputed,0.8999695474149415,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,1.0,4.5607678922637165e-06
TGFB1,TGFBR2,T Lymphocytes,Unassigned,precomputed,precomputed,precomputed,0.8551613440119104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,4.522112319685331e-06
CXCL12,CXCR4,"CAFs, DCIS Associated",Unassigned,precomputed,precomputed,precomputed,0.8401391037337905,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29,1.0,4.508774702978015e-06
DLL4,NOTCH3,Unassigned,Pericytes,precomputed,precomputed,precomputed,0.0,0.8544260293908458,0.0,0.0,0.8672894033034337,0.0,0.0,0.0,0.0,7,1.0,4.4154308406572215e-06
JAG1,NOTCH1,11q13 Invasive Tumor Cells,Unassigned,precomputed,precomputed,precomputed,0.7293068717997298,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,1.0,4.403706700393227e-06
TGFB1,TGFBR2,Dendritic Cells,Unassigned,precomputed,precomputed,precomputed,0.8551613440119104,0.0,0.0,0.7613650405309432,0.0,0.0,0.0,0.0,0.0,0,1.0,4.321224541481738e-06
CSF1,CSF1R,"CAFs, DCIS Associated",Unassigned,precomputed,precomputed,precomputed,0.628123476046365,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29,1.0,4.295438507056052e-06
JAG1,NOTCH1,Unassigned,11q13 Invasive Tumor Cells,precomputed,precomputed,precomputed,0.0,0.6160323490474457,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13,1.0,4.28154574319406e-06
TGFB1,TGFBR2,11q13 Invasive Tumor Cells,Unassigned,precomputed,precomputed,precomputed,0.614614826838263,0.0,0.0,0.9884381288839681,0.0,0.0,0.0,0.0,0.0,5,1.0,4.271614863787167e-06
TGFB1,TGFBR2,"CAFs, Invasive Associated",Unassigned,precomputed,precomputed,precomputed,0.614614826838263,0.0,0.0,0.9188457246466148,0.0,0.0,0.0,0.0,0.0,0,1.0,4.219952934493648e-06
JAG1,NOTCH1,Unassigned,Endothelial Cells,precomputed,precomputed,precomputed,0.0,0.7395744237294981,0.0,0.0,0.7025747778867708,0.0,0.0,0.0,0.0,9,1.0,4.161779581160212e-06
DLL4,NOTCH3,Unassigned,11q13 Invasive Tumor Cells,precomputed,precomputed,precomputed,0.0,0.5135084777480219,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13,1.0,4.153599372050497e-06
