region_x_bin,region_y_bin,immune_resistance__axis__checkpoint,immune_resistance__axis__myeloid,immune_resistance__axis__vascular,immune_resistance__axis__emt,immune_resistance__model__rna_only,immune_resistance__model__protein_only,immune_resistance__model__joint_activity,immune_resistance__model__discordance_burden,immune_resistance__model__checkpoint_only,immune_resistance__model__myeloid_only,immune_resistance__model__vascular_only,immune_resistance__model__emt_only,immune_resistance__model__joint_minus_checkpoint,immune_resistance__model__joint_minus_myeloid,immune_resistance__model__joint_minus_vascular,immune_resistance__model__joint_minus_emt,immune_resistance__model__myeloid_vascular_branch,immune_resistance__model__epithelial_emt_front_branch,immune_resistance__branch_target__myeloid_vascular,immune_resistance__branch_target__epithelial_emt_front,immune_resistance__held_out__myeloid_vascular,immune_resistance__held_out__epithelial_emt_front,n_cells,region_x_min,region_x_max,region_y_min,region_y_max,region_x_center,region_y_center
1,7,-0.10035277,-0.583516,0.2080147,-0.08839683,-0.12856725,-0.15355818,-0.14106272,0.6559021,-0.10035277,-0.583516,0.2080147,-0.08839683,-0.1546327,0.0064216987,-0.25742188,-0.15861802,-0.15861802,-0.25742188,0.19435538,0.16165026,0.15752462,0.65682137,711,479.4687563578288,957.4471867879232,1695.4986489812532,1937.2427829106648,718.457971572876,1816.370715945959
1,8,-0.0913345,-0.43326098,0.03867435,-0.11329995,-0.105653234,-0.1939573,-0.14980526,0.63611627,-0.0913345,-0.43326098,0.03867435,-0.11329995,-0.16929552,-0.05532003,-0.2126318,-0.1619737,-0.1619737,-0.2126318,0.17497568,0.19878346,0.14051095,0.7281022,548,479.4687563578288,957.4471867879232,1937.2427829106648,2178.9869168400764,718.457971572876,2058.1148498753705
1,9,-0.1274657,-0.50758153,0.10303844,-0.081498615,-0.082616895,-0.2241368,-0.15337686,0.6617462,-0.1274657,-0.50758153,0.10303844,-0.081498615,-0.16201389,-0.035308626,-0.23884861,-0.17733626,-0.17733626,-0.23884861,0.1690037,0.20073801,0.09225092,0.73985237,542,479.4687563578288,957.4471867879232,2178.9869168400764,2420.731050769488,718.457971572876,2299.858983804782
1,10,-0.13517147,-0.6095275,0.41839302,-0.021317177,-0.08590435,-0.08790723,-0.0869058,0.6500858,-0.13517147,-0.6095275,0.41839302,-0.021317177,-0.07081724,0.087301455,-0.25533873,-0.108768664,-0.108768664,-0.25533873,0.19286074,0.13333334,0.12820514,0.54751134,663,479.4687563578288,957.4471867879232,2420.731050769488,2662.4751846988993,718.457971572876,2541.603117734194
1,11,-0.100728825,-0.46731392,0.53478307,0.033069454,-0.06564622,0.06555113,-4.7549394e-05,0.62745154,-0.100728825,-0.46731392,0.53478307,0.033069454,0.033512875,0.1557079,-0.17832442,-0.0110865515,-0.0110865515,-0.17832442,0.20492493,0.11514372,0.1891892,0.46332046,777,479.4687563578288,957.4471867879232,2662.4751846988993,2904.219318628311,718.457971572876,2783.347251663605
1,12,-0.1875945,-0.62590915,-0.16132475,0.0037507645,-0.18567218,-0.29986665,-0.2427694,0.64007807,-0.1875945,-0.62590915,-0.16132475,0.0037507645,-0.26116103,-0.11505616,-0.2699176,-0.3249428,-0.3249428,-0.2699176,0.108813085,0.2933902,0.046908315,0.84008527,469,479.4687563578288,957.4471867879232,2904.219318628311,3145.9634525577226,718.457971572876,3025.0913855930166
1,13,-0.09840938,-0.28429917,0.21281698,0.09336575,-0.07943328,0.04117038,-0.019131448,0.62388325,-0.09840938,-0.28429917,0.21281698,0.09336575,0.007294526,0.06925779,-0.096447594,-0.056630515,-0.056630515,-0.096447594,0.15198441,0.19732442,0.053511705,0.68729097,598,479.4687563578288,957.4471867879232,3145.9634525577226,3387.707586487134,718.457971572876,3266.8355195224285
1,14,-0.06495726,-0.38181815,0.40824652,0.14365777,-0.08352893,0.13609336,0.026282214,0.6452567,-0.06495726,-0.38181815,0.40824652,0.14365777,0.056695372,0.16231567,-0.101039216,-0.012842975,-0.012842975,-0.101039216,0.17685676,0.17060733,0.06815021,0.6425591,719,479.4687563578288,957.4471867879232,3387.707586487134,3629.451720416546,718.457971572876,3508.57965345184
1,15,-0.00909866,-0.32021707,0.38106295,0.037430882,-0.052563418,0.097152464,0.022294521,0.66967535,-0.00909866,-0.32021707,0.38106295,0.037430882,0.032758918,0.13646506,-0.09729496,0.017249068,0.017249068,-0.09729496,0.17631553,0.14513996,0.06870229,0.63053435,655,479.4687563578288,957.4471867879232,3629.451720416546,3871.1958543459573,718.457971572876,3750.3237873812513
1,16,0.06429016,-0.24787062,0.51463157,0.07651127,-0.0248026,0.2285838,0.101890594,0.6703141,0.06429016,-0.24787062,0.51463157,0.07651127,0.11442407,0.21847767,-0.035689738,0.11035038,0.11035038,-0.035689738,0.17316797,0.10774588,0.024804177,0.5652742,766,479.4687563578288,957.4471867879232,3871.1958543459573,4112.939988275369,718.457971572876,3992.067921310663
