program,feature_kind,feature_name,effect_size,p_value,matched_control_delta,fdr
necrotic_hypoxic_rim,gene,EMCN,-0.003412495895732833,1.0,-0.0034124958957328345,1.0
necrotic_hypoxic_rim,marker_pair,cxcl13_cxcr5__cross_zone,-0.004115422935272794,1.0,-0.004115422935272794,1.0
necrotic_hypoxic_rim,gene,MS4A1,-0.007749800051572583,0.5049850750938458,-0.007749800051572583,1.0
necrotic_hypoxic_rim,gene,PECAM1,-0.010248389002291969,1.0,-0.010248389002291969,1.0
necrotic_hypoxic_rim,pathway,myeloid_activation,-0.010724074096136075,0.8247780950825133,-0.010724074096136077,1.0
necrotic_hypoxic_rim,pathway,stromal_matrix,-0.017358142233893925,1.0,-0.01735814223389393,1.0
necrotic_hypoxic_rim,gene,CD3D,-0.017716109673341165,0.5049850750938458,-0.017716109673341165,1.0
necrotic_hypoxic_rim,pathway,hypoxia_necrosis,-0.02019402627603114,0.8247780950825133,-0.020194026276031132,1.0
necrotic_hypoxic_rim,gene,SPP1,-0.027480893042835384,0.5049850750938458,-0.027480893042835384,1.0
necrotic_hypoxic_rim,pathway,emt_invasion,-0.03602130920651854,1.0,-0.03602130920651853,1.0
necrotic_hypoxic_rim,pathway,vascular_stromal,-0.050667546818449906,0.7,-0.05066754681844989,1.0
necrotic_hypoxic_rim,gene,HLA-DRA,-0.05108298237804359,0.5049850750938458,-0.05108298237804359,1.0
necrotic_hypoxic_rim,gene,CD44,-0.06462271518335838,0.8247780950825133,-0.06462271518335845,1.0
necrotic_hypoxic_rim,gene,FAP,-0.06886154834940866,0.8247780950825133,-0.06886154834940865,1.0
necrotic_hypoxic_rim,marker_pair,vegfa_kdr__outer_minus_inner,-0.08557685014158423,1.0,-0.08557685014158421,1.0
necrotic_hypoxic_rim,gene,CXCL12,-0.10061568922677422,0.8247780950825133,-0.10061568922677422,1.0
necrotic_hypoxic_rim,marker_pair,tgfb1_tgfbr2__cross_zone,-0.106512220678177,1.0,-0.10651222067817702,1.0
necrotic_hypoxic_rim,gene,CD68,-0.14140565382677495,0.8247780950825133,-0.14140565382677497,1.0
necrotic_hypoxic_rim,gene,VEGFA,-0.14841426762292534,0.6428348264908044,-0.14841426762292534,1.0
necrotic_hypoxic_rim,gene,LDHA,-0.2020534755818685,1.0,-0.20205347558186845,1.0
necrotic_hypoxic_rim,marker_pair,cxcl13_cxcr5__outer_minus_inner,-0.23541667217286796,1.0,-0.23541667217286796,1.0
necrotic_hypoxic_rim,marker_pair,spp1_cd44__outer_minus_inner,-0.3004541431495616,0.4,-0.3004541431495616,1.0
necrotic_hypoxic_rim,gene,FN1,-0.32159396596421624,0.5065551690490403,-0.32159396596421624,1.0
necrotic_hypoxic_rim,gene,COL4A1,-0.5370426073638684,0.8247780950825133,-0.5370426073638684,1.0
necrotic_hypoxic_rim,gene,COL4A2,-0.5619238401222255,1.0,-0.5619238401222256,1.0
necrotic_hypoxic_rim,gene,TAGLN,-0.9495303872671678,0.3536785173184648,-0.9495303872671675,1.0
necrotic_hypoxic_rim,marker_pair,cxcl12_cxcr4__outer_minus_inner,-1.151647326507606,0.5065551690490403,-1.1516473265076062,1.0
necrotic_hypoxic_rim,marker_pair,tgfb1_tgfbr2__outer_minus_inner,-1.1593302151143356,0.4,-1.1593302151143354,1.0
stromal_encapsulation,gene,CXCL12,2.0579604613271054,0.19670560245894686,2.0579604613271054,0.9284504436062292
stromal_encapsulation,gene,COL4A1,0.7449194083456834,0.19670560245894686,0.7449194083456834,0.9284504436062292
stromal_encapsulation,gene,VIM,0.6803195649504197,0.19670560245894686,0.6803195649504197,0.9284504436062292
stromal_encapsulation,marker_pair,vegfa_kdr__outer_minus_inner,0.46312927223769956,0.19670560245894686,0.46312927223769956,0.9284504436062292
stromal_encapsulation,gene,LDHA,0.4487266097842451,0.19670560245894686,0.4487266097842451,0.9284504436062292
stromal_encapsulation,gene,CXCR5,0.23237768274254614,0.19670560245894686,0.23237768274254614,0.9284504436062292
stromal_encapsulation,pathway,vascular_stromal,0.0895482934540233,0.19670560245894686,0.0895482934540233,0.9284504436062292
stromal_encapsulation,pathway,hypoxia_necrosis,0.06922491065655006,0.19670560245894686,0.06922491065655006,0.9284504436062292
stromal_encapsulation,pathway,immune_activation,0.029611073329144515,0.19670560245894686,0.029611073329144515,0.9284504436062292
