feature	classification_name	mean_value	median_value	n_contours
pathway__outer_rim__vascular_stromal	S6 Apocrine Cells #4.1	0.0393648926439368	0.0393648926439368	1
pathway__outer_rim__vascular_stromal	S3 Macrophages #4.1	0.0	0.0	1
pathway__outer_rim__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #3.1	0.0	0.0	1
pathway__outer_rim__vascular_stromal	S1 11q13 Invasive Tumor Cells #2.1			0
pathway__outer_rim__vascular_stromal	S2 Basal-like Structured DCIS Cells #2.1			0
pathway__outer_rim__vascular_stromal	S5 Endothelial Cells #1.1			0
pathway__outer_rim__vascular_stromal	S5 Endothelial Cells #2.1			0
pathway__outer_rim__vascular_stromal	S6 Apocrine Cells #3.1			0
pathway__outer_rim__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #4.1			0
pathway__whole__vascular_stromal	S4 Plasma Cells #3.1	0.2509549498741152	0.2509549498741152	1
pathway__whole__vascular_stromal	S6 Apocrine Cells #4.1	0.1640485796713655	0.1640485796713655	1
pathway__whole__vascular_stromal	S4 Plasma Cells #2.1	0.1390121222783406	0.1390121222783406	1
pathway__whole__vascular_stromal	S5 Endothelial Cells #2.1	0.117460756143878	0.117460756143878	1
pathway__whole__vascular_stromal	S3 Macrophages #3.1	0.1114447639607452	0.1114447639607452	1
pathway__whole__vascular_stromal	S4 Plasma Cells #4.1	0.1000904515470486	0.1000904515470486	1
pathway__whole__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #1.1	0.0707743229984139	0.0707743229984139	1
pathway__whole__vascular_stromal	S1 11q13 Invasive Tumor Cells #1.1	0.0696516480006165	0.0696516480006165	1
pathway__whole__vascular_stromal	S2 Basal-like Structured DCIS Cells #4.1	0.0696097535916172	0.0696097535916172	1
pathway__whole__vascular_stromal	S6 Apocrine Cells #1.1	0.0665752898267624	0.0665752898267624	1
pathway__whole__vascular_stromal	S2 Basal-like Structured DCIS Cells #1.1	0.055341348999192	0.055341348999192	1
pathway__whole__vascular_stromal	S1 11q13 Invasive Tumor Cells #4.1	0.0542424607543646	0.0542424607543646	1
pathway__whole__vascular_stromal	S4 Plasma Cells #1.1	0.0466454241844282	0.0466454241844282	1
pathway__whole__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #2.1	0.0176899304879547	0.0176899304879547	1
pathway__whole__vascular_stromal	S2 Basal-like Structured DCIS Cells #2.1	0.0	0.0	1
pathway__whole__vascular_stromal	S3 Macrophages #2.1	0.0	0.0	1
pathway__whole__vascular_stromal	S3 Macrophages #4.1	0.0	0.0	1
pathway__whole__vascular_stromal	S5 Endothelial Cells #1.1	0.0	0.0	1
pathway__whole__vascular_stromal	S5 Endothelial Cells #4.1	0.0	0.0	1
pathway__whole__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #4.1	0.0	0.0	1
pathway__whole__vascular_stromal	S1 11q13 Invasive Tumor Cells #2.1			0
pathway__whole__vascular_stromal	S1 11q13 Invasive Tumor Cells #3.1			0
pathway__whole__vascular_stromal	S2 Basal-like Structured DCIS Cells #3.1			0
pathway__whole__vascular_stromal	S3 Macrophages #1.1			0
pathway__whole__vascular_stromal	S5 Endothelial Cells #3.1			0
pathway__whole__vascular_stromal	S6 Apocrine Cells #2.1			0
pathway__whole__vascular_stromal	S6 Apocrine Cells #3.1			0
pathway__whole__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #3.1			0
rna__core__emcn	S4 Plasma Cells #2.1	0.4400861985817982	0.4400861985817982	1
rna__core__emcn	S1 11q13 Invasive Tumor Cells #1.1	0.081986111713777	0.081986111713777	1
rna__core__emcn	S2 Basal-like Structured DCIS Cells #4.1	0.0739278129904257	0.0739278129904257	1
rna__core__emcn	S1 11q13 Invasive Tumor Cells #4.1	0.0728578243407787	0.0728578243407787	1
rna__core__emcn	S7 Luminal-like Amorphous DCIS Cells #1.1	0.0709433356321481	0.0709433356321481	1
rna__core__emcn	S2 Basal-like Structured DCIS Cells #1.1	0.0	0.0	1
rna__core__emcn	S2 Basal-like Structured DCIS Cells #2.1	0.0	0.0	1
rna__core__emcn	S3 Macrophages #2.1	0.0	0.0	1
rna__core__emcn	S3 Macrophages #3.1	0.0	0.0	1
rna__core__emcn	S3 Macrophages #4.1	0.0	0.0	1
rna__core__emcn	S4 Plasma Cells #1.1	0.0	0.0	1
rna__core__emcn	S4 Plasma Cells #3.1	0.0	0.0	1
rna__core__emcn	S4 Plasma Cells #4.1	0.0	0.0	1
rna__core__emcn	S5 Endothelial Cells #1.1	0.0	0.0	1
rna__core__emcn	S5 Endothelial Cells #2.1	0.0	0.0	1
rna__core__emcn	S5 Endothelial Cells #4.1	0.0	0.0	1
rna__core__emcn	S6 Apocrine Cells #1.1	0.0	0.0	1
rna__core__emcn	S7 Luminal-like Amorphous DCIS Cells #2.1	0.0	0.0	1
rna__core__emcn	S7 Luminal-like Amorphous DCIS Cells #4.1	0.0	0.0	1
rna__core__emcn	S1 11q13 Invasive Tumor Cells #2.1			0
