gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene
PECAM1	CXCL14+ Fibroblasts	4936	0.023095623987034037	0.014339592885942089	0.017625607779578605	0.009985594613370874	0.019763781236651394
PF4	CXCL14+ Fibroblasts	4936	0.0016207455429497568	0.0011234152035007217	0.0016207455429497568	0.04609647909752933	0.047059504514934014
PPBP	CXCL14+ Fibroblasts	4936	0.0024311183144246355	0.0016268403756619857	0.002228525121555916	0.061907095875216075	0.06096254276967405
SELP	CXCL14+ Fibroblasts	4936	0.0018233387358184765	0.0012638421039383118	0.0018233387358184765	0.004032527645292368	0.007026127460991305
VWF	CXCL14+ Fibroblasts	4936	0.02127228525121556	0.013049372022754397	0.01600486223662885	0.007869200969595326	0.01822605729944371
CDH5	Dendritic Cells	4008	0.03592814371257485	0.022305730151857436	0.02844311377245509	0.029871354574093723	0.04257088045360165
CLEC14A	Dendritic Cells	4008	0.03992015968063872	0.025024420453252497	0.031686626746506984	0.03929077804261033	0.05375009226236747
COL4A1	Dendritic Cells	4008	0.23552894211576847	0.11048688464697716	0.1122754491017964	0.12210695313891425	0.17204397175797656
COL4A2	Dendritic Cells	4008	0.19111776447105788	0.1052410509441559	0.12100798403193613	0.15870692803969055	0.2135405881504844
EGFL7	Dendritic Cells	4008	0.054890219560878244	0.033665548821860264	0.041666666666666664	0.033546787591889	0.05348018058242794
EMCN	Dendritic Cells	4008	0.03268463073852296	0.020583349680641676	0.02619760479041916	0.02941013823079646	0.04131068636178
FLT1	Dendritic Cells	4008	0.09805389221556886	0.06364846985759152	0.0843313373253493	0.0910507440462188	0.13670553629582938
GP1BA	Dendritic Cells	4008	0.02594810379241517	0.016850426551932342	0.02220558882235529	0.6735260221267357	0.6828218562874251
HBB	Dendritic Cells	4008	0.018463073852295408	0.011704589131771923	0.014970059880239521	0.17862515325122846	0.27065366123099716
ITGA2B	Dendritic Cells	4008	0.013722554890219561	0.009224642375496474	0.012724550898203593	0.1167567987733232	0.12632195286845663
KDR	Dendritic Cells	4008	0.0531437125748503	0.03243464920723823	0.04091816367265469	0.03773253073698709	0.06420637618503895
MMRN2	Dendritic Cells	4008	0.022954091816367265	0.01400849554359665	0.01746506986027944	0.023477323229293558	0.030978766449002444
PECAM1	Dendritic Cells	4008	0.7437624750499002	0.39701857593497675	0.4149201596806387	0.2764699517481468	0.46525438266621094
PF4	Dendritic Cells	4008	0.0054890219560878245	0.003804700092893911	0.0054890219560878245	0.15611616947850876	0.15937767322497862
PPBP	Dendritic Cells	4008	0.01472055888223553	0.009671688151251977	0.012974051896207584	0.3680423320026765	0.35491239742736747
SELP	Dendritic Cells	4008	0.01971057884231537	0.012814011575836656	0.01721556886227545	0.040885531322020184	0.06633917152290593
