cell_id	cell_type	x	y	VWF	SELP	vwf_norm	selp_norm	ee_neighbor_count	active_sender_edges	active_receiver_edges	hotspot_score
jfldlkan-1	Endothelial Cells	6639.693359375	965.4771728515624	12.0	10.0	0.5959364698065137	0.7545168838552492	3	3	2	0.7068455075343243
ldjnfnpo-1	Endothelial Cells	8973.9052734375	827.1959838867188	33.0	6.0	0.8193092920885532	0.6122961576274708	1	1	0	0.7061522737290612
gpdabegd-1	Endothelial Cells	5570.59765625	4963.5703125	34.0	8.0	0.8260442127381088	0.6913742480868107	2	1	2	0.7057540142676908
kokmafph-1	Endothelial Cells	8934.298828125	2534.3828125	24.0	5.0	0.7478687601520222	0.5637914160289369	3	2	2	0.705642213590154
kgmbgoci-1	Endothelial Cells	9254.7099609375	1830.714599609375	5.0	11.0	0.41629469592760643	0.7818957080144684	1	0	1	0.7052957855940715
kokmolmj-1	Endothelial Cells	8939.5029296875	2548.03076171875	14.0	7.0	0.6291843042471731	0.6543128759565946	3	2	2	0.7047826101847382
kfbajjgn-1	Endothelial Cells	9838.044921875	2469.6025390625	29.0	6.0	0.7902290760036176	0.6122961576274708	1	1	1	0.7044749062733826
kcplbkfi-1	Endothelial Cells	9427.1552734375	1573.404052734375	17.0	5.0	0.6715446200987684	0.5637914160289369	3	3	3	0.703401047573185
fgjofeon-1	Endothelial Cells	4753.46435546875	3557.998779296875	33.0	5.0	0.8193092920885532	0.5637914160289369	2	1	1	0.7031643626175639
iaaaekdj-1	Endothelial Cells	1034.7998046875	4774.56982421875	39.0	4.0	0.8570686953453444	0.5064224831767222	1	0	1	0.7030360226983274
mokpfjdf-1	Endothelial Cells	5265.97021484375	4415.689453125	39.0	6.0	0.8570686953453444	0.6122961576274708	5	3	5	0.7024515921920499
ldcmcioi-1	Endothelial Cells	8968.6806640625	1162.1444091796875	26.0	4.0	0.765749772513486	0.5064224831767222	2	1	1	0.7019904946372082
fninaleg-1	Endothelial Cells	3992.409423828125	1738.760498046875	25.0	5.0	0.7569812415629582	0.5637914160289369	2	1	1	0.7019193128160597
lkmpdhpl-1	Endothelial Cells	8670.068359375	2964.93798828125	37.0	7.0	0.8451512885968872	0.6543128759565946	3	2	2	0.7019096699014425
kfpheanp-1	Endothelial Cells	9140.115234375	1775.374755859375	18.0	8.0	0.6841065168404427	0.6913742480868107	2	0	2	0.7017243011360799
jhbiddmn-1	Endothelial Cells	5828.9208984375	604.4892578125	29.0	3.0	0.7902290760036176	0.4362085839710631	4	3	4	0.7001068788013098
ckoaggpe-1	Endothelial Cells	2439.4228515625	1796.5601806640625	20.0	12.0	0.7073597568332597	0.8070817847603028	3	1	3	0.6999869708288785
cpnhccca-1	Endothelial Cells	1156.8548583984375	1824.9215087890625	25.0	6.0	0.7569812415629582	0.6122961576274708	3	1	3	0.6995924062548788
knjdfmbb-1	Endothelial Cells	8310.705078125	2275.260986328125	38.0	6.0	0.8511863939776757	0.6122961576274708	5	3	4	0.698984793005523
faminnbf-1	Endothelial Cells	4770.12841796875	3076.4755859375	29.0	4.0	0.7902290760036176	0.5064224831767222	4	3	4	0.6985399921013579
jhcecmgc-1	Endothelial Cells	5849.982421875	578.9120483398438	21.0	5.0	0.7181681471869151	0.5637914160289369	2	1	2	0.6983806428667746
kcknjcee-1	Endothelial Cells	9547.6962890625	1913.4788818359373	22.0	6.0	0.7284960027393369	0.6122961576274708	3	2	3	0.6976602739928632
kfnbmkal-1	Endothelial Cells	9060.32421875	1721.37353515625	21.0	11.0	0.7181681471869151	0.7818957080144684	3	1	3	0.6976126965467491
ofkccdep-1	Endothelial Cells	7903.8056640625	1910.6768798828125	13.0	6.0	0.6131546044185421	0.6122961576274708	2	2	2	0.6975626695885618
knjdcmam-1	Endothelial Cells	8296.7802734375	2261.133056640625	24.0	9.0	0.7478687601520222	0.7245267751622539	4	3	3	0.6972382446280885
lmeafgcf-1	Endothelial Cells	9860.8076171875	3595.3544921875	28.0	10.0	0.7823524405574647	0.7545168838552492	4	2	3	0.6971876094302243
ggfodfla-1	Endothelial Cells	2669.776123046875	4477.44580078125	16.0	3.0	0.6582645203321088	0.4362085839710631	1	1	1	0.6967595709299996
ggfnnbgc-1	Endothelial Cells	2683.089599609375	4474.25732421875	21.0	6.0	0.7181681471869151	0.6122961576274708	1	1	1	0.6967595709299996
mollicdm-1	Endothelial Cells	5302.12255859375	4544.54296875	27.0	3.0	0.7741993761749866	0.4362085839710631	3	2	3	0.694156779418861
lcdjalee-1	Endothelial Cells	9076.650390625	1262.630126953125	28.0	5.0	0.7823524405574647	0.5637914160289369	3	2	3	0.6936444653317225
mfbkllfp-1	Endothelial Cells	8307.1201171875	3910.53857421875	21.0	3.0	0.7181681471869151	0.4362085839710631	1	1	1	0.6925332610952671
iobiamnd-1	Endothelial Cells	5388.1396484375	1952.870849609375	15.0	6.0	0.6441790870257778	0.6122961576274708	5	4	4	0.6914977216146043
