gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene
SELP	B Cells	2512	0.007165605095541401	0.004852295850966255	0.006767515923566879	0.015482169094687755	0.02607822043111741
SERPINE1	B Cells	2512	0.007563694267515924	0.004852295850966255	0.006369426751592357	0.025894513300915883	0.030964855933318373
STXBP5	B Cells	2512	0.06289808917197452	0.03990180678960925	0.050955414012738856	0.1057869748786562	0.12452018391192475
THBD	B Cells	2512	0.016321656050955414	0.010464759896552113	0.013535031847133758	0.025324467758208572	0.03342672240827077
VWF	B Cells	2512	0.03423566878980892	0.01957104392197329	0.022292993630573247	0.011801983845524359	0.025386871394435982
ADAMTS13	Basal-like Structured DCIS Cells	8760	0.03458904109589041	0.023081108757870773	0.031621004566210045	0.31988759670364575	0.32169798860334353
ANGPT2	Basal-like Structured DCIS Cells	8760	0.019292237442922376	0.012319919653287147	0.015867579908675798	0.2611119755523545	0.28216083206494164
CDH5	Basal-like Structured DCIS Cells	8760	0.03881278538812785	0.024713016381850656	0.031735159817351595	0.03309514057203707	0.04749809411052415
CLEC14A	Basal-like Structured DCIS Cells	8760	0.034018264840182645	0.021773080922309517	0.02865296803652968	0.03418585822678132	0.048604090548196685
COL4A1	Basal-like Structured DCIS Cells	8760	0.34714611872146117	0.17871211488231956	0.19075342465753425	0.19750753138724406	0.2922987800722415
COL4A2	Basal-like Structured DCIS Cells	8760	0.4309360730593607	0.23676326583309595	0.2589041095890411	0.357046706165584	0.45688337243623706
CXCL8	Basal-like Structured DCIS Cells	8760	0.02363013698630137	0.015873110987839674	0.021917808219178082	0.32760682564355065	0.3372602739726028
EGFL7	Basal-like Structured DCIS Cells	8760	0.11621004566210046	0.07338412526063572	0.0930365296803653	0.07312524966581221	0.11941464979364047
EMCN	Basal-like Structured DCIS Cells	8760	0.030593607305936073	0.02030573577605147	0.027511415525114154	0.029013474741351505	0.04338241863020378
FLT1	Basal-like Structured DCIS Cells	8760	0.08184931506849315	0.05327752133298425	0.07077625570776255	0.07621484018642004	0.11473203556837297
GP1BA	Basal-like Structured DCIS Cells	8760	0.014269406392694063	0.009713151161196103	0.0136986301369863	0.38824299454697647	0.4212328767123287
HBB	Basal-like Structured DCIS Cells	8760	0.01598173515981735	0.009153445938401717	0.011529680365296804	0.13969184779716554	0.20845275360654011
IL6	Basal-like Structured DCIS Cells	8760	0.023515981735159817	0.015641809957341844	0.02134703196347032	0.12537061054829773	0.17449933995541994
ITGA2B	Basal-like Structured DCIS Cells	8760	0.01004566210045662	0.006798920265641127	0.009474885844748858	0.08605430248872997	0.09406116512004713
KDR	Basal-like Structured DCIS Cells	8760	0.08367579908675798	0.050134376117882073	0.060616438356164384	0.05832333427628066	0.09511575043369026
MMRN2	Basal-like Structured DCIS Cells	8760	0.06746575342465753	0.04209431765947789	0.05319634703196347	0.07054732599460771	0.094357321432261
PECAM1	Basal-like Structured DCIS Cells	8760	0.05011415525114155	0.031149300035686635	0.03949771689497717	0.02169129103738781	0.04428920953091706
PF4	Basal-like Structured DCIS Cells	8760	0.007534246575342466	0.005156660932882743	0.0073059360730593605	0.21159043616728368	0.21213307240704501
PLAT	Basal-like Structured DCIS Cells	8760	2.815068493150685	1.0014572784313092	0.7029680365296803	0.4963888403870303	0.7353031882916466
PPBP	Basal-like Structured DCIS Cells	8760	0.011986301369863013	0.008176909322943737	0.011529680365296804	0.3111606504187248	0.3154008117706748
RAB27A	Basal-like Structured DCIS Cells	8760	0.11552511415525114	0.07567827528149407	0.10068493150684932	0.48025818357135064	0.49527103117909066
SELP	Basal-like Structured DCIS Cells	8760	0.012671232876712329	0.008394893627154287	0.01141552511415525	0.026785498382510552	0.04398904762487707
