method	database_mode	ligand	receptor	sender	receiver	score_raw	score_std	rank_within_method	rank_fraction	fdr_or_pvalue	resolution	spatial_support_type	artifact_path	sender_mean_expr	receiver_mean_expr	lr_pair	method_source	sender_diffused_mean	receiver_diffused_mean	diffusion_alpha	spatial_coherence	local_lr_score	edge_count	spatialdm_moran_r	spatialdm_zscore	n_spots	n_spots_sig	n_spots_sig_pval	local_contact	contact_strength_normalized	contact_coverage	cross_edge_count
liana	common-db	CALR	LRP1	Plasma Cells	Unassigned	0.999999225139618	0.999872347687276	96.0	0.999872347687276		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			CALR-LRP1	liana				0.999999225139618											
liana	common-db	COL4A2	ITGB3	Plasma Cells	Unassigned	0.9999986290931702	0.9998656291445012	101.0	0.9998656291445012		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			COL4A2-ITGB3	liana				0.9999986290931702											
liana	common-db	COL4A1	CD44	Macrophages	Unassigned	0.972186656575384	0.9998521920589512	111.0	0.9998521920589512		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			COL4A1-CD44	liana				0.972186656575384											
liana	common-db	CCN2	LRP1	Unassigned	B Cells	0.9215314108185771	0.9998078496766364	144.0	0.9998078496766364		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			CCN2-LRP1	liana				0.9215314108185771											
spatialdm	common-db	CDH1	IGF1R	11q13 Invasive Tumor Cells	Endothelial Cells	102243.12193767408	0.9999775796315435	11.0	0.9999775796315435	0.0	local_lr	bivariate_moran_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/spatialdm/raw			CDH1-IGF1R	spatialdm				0.097440775638927	234.4425061872585	2406.0	0.3625444433353491	340.8104064589136							
spatialdm	common-db	CDH1	IGF1R	11q13 Invasive Tumor Cells (G1/S)	Endothelial Cells	102243.12193767408	0.9999372229683222	29.0	0.9999372229683222	0.0	local_lr	bivariate_moran_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/spatialdm/raw			CDH1-IGF1R	spatialdm				0.0579030454628565	7.353686773782783	127.0	0.3625444433353491	340.8104064589136							
spatialdm	common-db	CDH1	IGF1R	11q13 Invasive Tumor Cells (Mitotic)	Endothelial Cells	102243.12193767408	0.9998991083419464	46.0	0.9998991083419464	0.0	local_lr	bivariate_moran_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/spatialdm/raw			CDH1-IGF1R	spatialdm				0.0817052280163221	13.971593990791083	171.0	0.3625444433353491	340.8104064589136							
spatialdm	common-db	CDH1	IGF1R	Apocrine Cells	Endothelial Cells	102243.12193767408	0.9998722038997988	58.0	0.9998722038997988	0.0	local_lr	bivariate_moran_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/spatialdm/raw			CDH1-IGF1R	spatialdm				0.1955790842868367	1.369053590007857	7.0	0.3625444433353491	340.8104064589136							
spatialdm	common-db	CDH1	IGF1R	B Cells	Endothelial Cells	102243.12193767408	0.9998385733471143	73.0	0.9998385733471143	0.0	local_lr	bivariate_moran_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/spatialdm/raw			CDH1-IGF1R	spatialdm				0.0007631541300642	0.6647072472859511	871.0	0.3625444433353491	340.8104064589136							
spatialdm	common-db	CDH1	IGF1R	Basal-like Structured DCIS Cells	Endothelial Cells	102243.12193767408	0.9998027007575844	89.0	0.9998027007575844	0.0	local_lr	bivariate_moran_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/spatialdm/raw			CDH1-IGF1R	spatialdm				0.0840446095779686	80.09451292780413	953.0	0.3625444433353491	340.8104064589136							
spatialdm	common-db	CDH1	IGF1R	CAFs, DCIS Associated	Endothelial Cells	102243.12193767408	0.9997645861312084	106.0	0.9997645861312084	0.0	local_lr	bivariate_moran_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/spatialdm/raw			CDH1-IGF1R	spatialdm				0.0026560114687491	25.8004954074295	9714.0	0.3625444433353491	340.8104064589136							
spatialdm	common-db	CDH1	IGF1R	CAFs, Invasive Associated	Endothelial Cells	102243.12193767408	0.9997264715048328	123.0	0.9997264715048328	0.0	local_lr	bivariate_moran_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/spatialdm/raw			CDH1-IGF1R	spatialdm				0.0038600974829803	7.72019496596076	2000.0	0.3625444433353491	340.8104064589136							
spatialdm	common-db	CDH1	IGF1R	CXCL14+ Fibroblasts	Endothelial Cells	102243.12193767408	0.9997018090995308	134.0	0.9997018090995308	0.0	local_lr	bivariate_moran_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/spatialdm/raw			CDH1-IGF1R	spatialdm				0.0003566491880995	0.5834780717308234	1636.0	0.3625444433353491	340.8104064589136							
spatialdm	common-db	CDH1	IGF1R	Dendritic Cells	Endothelial Cells	102243.12193767408	0.9996726626205376	147.0	0.9996726626205376	0.0	local_lr	bivariate_moran_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/spatialdm/raw			CDH1-IGF1R	spatialdm				0.0044538505220838	5.718744070355715	1284.0	0.3625444433353491	340.8104064589136							
spatialdm	common-db	CDH1	IGF1R	Endothelial Cells	11q13 Invasive Tumor Cells	102243.12193767408	0.9996547263257723	155.0	0.9996547263257723	0.0	local_lr	bivariate_moran_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/spatialdm/raw			CDH1-IGF1R	spatialdm				0.0490106641019842	155.41281586739217	3171.0	0.3625444433353491	340.8104064589136							
