ligand	receptor	sender_celltype	receiver_celltype	anchor_source_ligand	anchor_source_receptor	structure_map_source	sender_anchor	receiver_anchor	structure_bridge	sender_expr	receiver_expr	local_contact	contact_strength_raw	contact_strength_normalized	contact_coverage	cross_edge_count	prior_confidence	CCI_score	lr_pair
VWF	ITGA9	Apocrine Cells	Luminal-like Amorphous DCIS Cells	recompute	recompute	recompute	0.2486570577556728	0.2531744428854943	0.3990376746076917	0.0001077515101466	0.0642389143033604	0.0	0.0	0.0	0.0	89	1.0	0.0034677631035774	VWF-ITGA9
MMP2	PECAM1	Mast Cells	11q13 Invasive Tumor Cells (G1/S)	recompute	recompute	recompute	0.8560892486218385	0.6331674633943454	0.6198216015396206	0.0006966068981631	0.0007400708115376	0.0	0.0	0.0	0.0	1	1.0	0.003465476180377	MMP2-PECAM1
VWF	LRP1	Plasma Cells	11q13 Invasive Tumor Cells (G1/S)	recompute	recompute	recompute	0.7158082793127664	0.6207977546603366	0.6198216015396206	0.0003457348439318	0.0018097844702233	0.0	0.0	0.0	0.0	8	1.0	0.0034625795410894	VWF-LRP1
VWF	SELP	Apocrine Cells	T Lymphocytes	recompute	recompute	recompute	0.2486570577556728	0.7760344326192508	0.2461374514707439	0.0001077515101466	0.0335947364052305	0.0	0.0	0.0	0.0	74	1.0	0.0034612456771302	VWF-SELP
MMRN2	CD93	CAFs, Invasive Associated	CXCL14+ Fibroblasts	recompute	recompute	recompute	0.6301823358791634	0.8817184225858201	0.6198216015396206	0.00146889578236	0.0003375370073613	0.0	0.0	0.0	0.0	1490	1.0	0.0034572584355631	MMRN2-CD93
VWF	SELP	CXCL14+ Fibroblasts	Plasma Cells	recompute	recompute	recompute	0.9275752708651288	0.4623922682986163	0.7204611100467462	0.000245041593909	0.0022515473538965	0.0	0.0	0.0	0.0	285	1.0	0.0034563560360637	VWF-SELP
CCN1	CAV1	B Cells	Apocrine Cells	recompute	recompute	recompute	0.6213271600240247	0.252518874138558	0.2461374514707439	0.0023088899408624	0.0018925243453249	0.0	0.0	0.0	0.0	15	1.0	0.0034504319590184	CCN1-CAV1
CD34	SELP	Apocrine Cells	Luminal-like Amorphous DCIS Cells	recompute	recompute	recompute	0.2491449441646273	0.4623922682986163	0.3990376746076917	0.0003767662344862	0.0096770075292062	0.0	0.0	0.0	0.0	89	1.0	0.0034465422098297	CD34-SELP
MMRN2	CD93	Plasma Cells	11q13 Invasive Tumor Cells (Mitotic)	recompute	recompute	recompute	0.7205550478301406	0.6587114738285964	0.6198216015396206	0.0002165306714062	0.0026174949623928	0.0	0.0	0.0	0.0	3	1.0	0.0034435734619366	MMRN2-CD93
MMRN2	CLEC14A	Myeloid Cells	Mast Cells	recompute	recompute	recompute	0.7856500335676843	0.8514619504364779	0.7827641335561659	0.0005542667491398	0.0005740632036187	0.0	0.0	0.0	0.0	23	1.0	0.0034431283180987	MMRN2-CLEC14A
VWF	SELP	B Cells	Luminal-like Amorphous DCIS Cells	recompute	recompute	recompute	0.6332974881236617	0.4623922682986163	0.2461374514707439	0.00023686843287	0.0096770075292062	0.0	0.0004308487720809	0.1229128461900837	0.0	211	1.0	0.0034383006702685	VWF-SELP
VWF	SELP	B Cells	CAFs, Invasive Associated	recompute	recompute	recompute	0.6332974881236617	0.6572093097629401	0.7917001487310438	0.00023686843287	0.002113171886167	0.0	0.0	0.0	0.0	968	1.0	0.0034373395603745	VWF-SELP
CD34	SELP	CXCL14+ Fibroblasts	CXCL14+ Fibroblasts	recompute	recompute	recompute	0.9303167350027568	0.8819126042133903	1.0	0.0016860250240652	0.0001189339410417	0.0	0.0	0.0	0.0	4019	1.0	0.0034359292992954	CD34-SELP
MMRN2	CD93	B Cells	B Cells	recompute	recompute	recompute	0.6301823358791634	0.7779918296243433	1.0	0.0003083910058032	0.001079730675535	0.0	0.0005289139633286	0.0580945003872967	0.0	1418	1.0	0.0034314637953214	MMRN2-CD93
MMRN2	CLEC14A	Mast Cells	11q13 Invasive Tumor Cells (G1/S)	recompute	recompute	recompute	0.8571898293845529	0.6347970925105053	0.6198216015396206	0.0004196880356983	0.0011388334136451	0.0	0.0	0.0	0.0	1	1.0	0.0034242326928049	MMRN2-CLEC14A
VWF	LRP1	Plasma Cells	B Cells	recompute	recompute	recompute	0.7158082793127664	0.6207977546603366	0.6198216015396206	0.0003457348439318	0.0016667952436519	0.0	3.607503607503608e-05	0.0044837089025013	0.0	315	1.0	0.0034154061714282	VWF-LRP1
VWF	LRP1	CXCL14+ Fibroblasts	11q13 Invasive Tumor Cells (G1/S)	recompute	recompute	recompute	0.9275752708651288	0.6207977546603366	0.6198216015396206	0.000245041593909	0.0018097844702233	0.0	0.0001111358079573	0.0115452758365836	0.0	409	1.0	0.0034138319272377	VWF-LRP1
CD34	SELP	Mast Cells	B Cells	recompute	recompute	recompute	0.8532069650852002	0.7760344326192508	0.6198216015396206	0.00083777361258	0.0004582650848664	0.0	0.0	0.0	0.0	112	1.0	0.0034112224099081	CD34-SELP
MMRN2	CLEC14A	CXCL14+ Fibroblasts	Dendritic Cells	recompute	recompute	recompute	0.940547666092272	0.6347970925105053	0.6198216015396206	0.0001298888146421	0.003263637675389	0.0	0.0	0.0	0.0	887	1.0	0.0034087761846582	MMRN2-CLEC14A
HSPG2	LRP1	Plasma Cells	Mast Cells	recompute	recompute	recompute	0.4629984640915818	0.8755243548400705	0.7204611100467462	0.0012814156885439	0.0004150165744076	0.0	0.0005787037037037	0.0804375804375805	0.0	48	1.0	0.0034030731108232	HSPG2-LRP1
VWF	LRP1	B Cells	B Cells	recompute	recompute	recompute	0.6332974881236617	0.6207977546603366	1.0	0.00023686843287	0.0016667952436519	0.0	2.4041543787665083e-05	0.0029880852700026	0.0	1418	1.0	0.0034027343878258	VWF-LRP1
VWF	SELP	Luminal-like Amorphous DCIS Cells	Mast Cells	recompute	recompute	recompute	0.2486570577556728	0.8347297932672282	0.2461374514707439	0.0033537993821664	0.0009042150166242	0.0	0.0	0.0	0.0	34	1.0	0.0034016520622603	VWF-SELP
VWF	SELP	Mast Cells	CAFs, Invasive Associated	recompute	recompute	recompute	0.8525936146535493	0.6572093097629401	0.6198216015396206	0.0002103933337194	0.002113171886167	0.0	0.0	0.0	0.0	144	1.0	0.0033997762382926	VWF-SELP
MMRN2	CLEC14A	Apocrine Cells	11q13 Invasive Tumor Cells	recompute	recompute	recompute	0.250044481781731	0.6347970925105053	0.2461374514707439	7.058774627838557e-05	0.0554888093272979	0.0	0.0	0.0	0.0	184	1.0	0.0033947232724855	MMRN2-CLEC14A
VWF	SELP	11q13 Invasive Tumor Cells (G1/S)	11q13 Invasive Tumor Cells (G1/S)	recompute	recompute	recompute	0.6332974881236617	0.6572093097629401	1.0	0.0003521782369754	0.0010419094417808	0.0	4.924652811976756e-05	0.0290256835495441	0.0	1846	1.0	0.0033935434416603	VWF-SELP
MMRN2	CLEC14A	11q13 Invasive Tumor Cells (G1/S)	B Cells	recompute	recompute	recompute	0.6301823358791634	0.6347970925105053	0.7917001487310438	0.000716220684292	0.000671064546954	0.0	0.0	0.0	0.0	38	1.0	0.0033916752715284	MMRN2-CLEC14A
CXCL12	ITGA5	11q13 Invasive Tumor Cells (G1/S)	B Cells	recompute	recompute	recompute	0.6160088550075702	0.6338612823312899	0.7917001487310438	0.0001971810371238	0.0024809469483059	0.0	0.0	0.0	0.0	38	1.0	0.0033879842875046	CXCL12-ITGA5
